E-2-2:E202,E동 2층 2호
E-2-3:E203,E동 2층 3호
E-2-4:E204,E동 2층 4호
E-3-1:E301,E동 3층 1호
E-3-2:E302,E동 3층 2호
E-3-3:E303,E동 3층 3호
E-3-4:E304,E동 3층 4호
E-3-5:E305,E동 3층 5호
E-4-1:E401,E동 4층 1호
E-4-2:E402,E동 4층 2호
E-4-3:E403,E동 4층 3호
E-4-4:E404,E동 4층 4호
E-4-5:E405,E동 4층 5호
E-4-6:E406,E동 4층 6호
E-5-1:E501,E동 5층 1호
E-5-2:E502,E동 5층 2호
E-5-3:E503,E동 5층 3호
E-5-4:E504,E동 5층 4호
E-5-5:E505,E동 5층 5호
E-5-6:E506,E동 5층 6호
E-6-1:E601,E동 6층 1호
E-6-2:E602,E동 6층 2호
E-6-3:E603,E동 6층 3호
E-6-4:E604,E동 6층 4호
E-7-1:E701,E동 7층 1호
E-7-2:E702,E동 7층 2호
E-7-3:E703,E동 7층 3호
E-7-4:E704,E동 7층 4호
E-7-5:E705,E동 7층 5호
E-7-6:E706,E동 7층 6호
E-8-1:E801,E동 8층 1호
E-8-2:E802,E동 8층 2호
E-8-3:E803,E동 8층 3호
E-8-4:E804,E동 8층 4호
E-9-1:E901,E동 9층 1호
E-9-2:E902,E동 9층 2호
E-9-3:E903,E동 9층 3호
E-9-4:E904,E동 9층 4호
E-9-5:E905,E동 9층 5호
E-9-6:E906,E동 9층 6호
E-10-1:E1001,E동 10층 1호
E-10-2:E1002,E동 10층 2호
E-10-3:E1003,E동 10층 3호
E-10-4:E1004,E동 10층 4호
E-10-5:E1005,E동 10층 5호
E-10-6:E1006,E동 10층 6호
G-1-3:G103,G동 1층 3호
G-1-4:G104,G동 1층 4호
G-2-1:G201,G동 2층 1호
G-2-3:G203,G동 2층 3호
G-2-4:G204,G동 2층 4호
G-2-5:G205,G동 2층 5호
G-2-10:G210,G동 2층 10호
G-2-6:G206,G동 2층 6호
G-2-7:G207,G동 2층 7호
G-2-8:G208,G동 2층 8호
G-2-9:G209,G동 2층 9호
G-3-2:G302,G동 3층 2호
G-3-3:G303,G동 3층 3호
G-3-4:G304,G동 3층 4호
G-3-19:G319,G동 3층 19호
G-3-5:G305,G동 3층 5호
G-3-18:G318,G동 3층 18호
G-3-6:G306,G동 3층 6호
G-3-17:G317,G동 3층 17호
G-3-7:G307,G동 3층 7호
G-3-16:G316,G동 3층 16호
G-3-8:G308,G동 3층 8호
G-3-15:G315,G동 3층 15호
G-3-9:G309,G동 3층 9호
G-3-14:G314,G동 3층 14호
G-3-10:G310,G동 3층 10호
G-3-11:G311,G동 3층 11호
G-3-12:G312,G동 3층 12호
G-3-13:G313,G동 3층 13호
G-3-1:G301,G동 3층 1호
G-3-20:G320,G동 3층 20호
G-3-21:G321,G동 3층 21호
G-3-24:G324,G동 3층 24호
G-3-22:G322,G동 3층 22호
G-4-33:G433,G동 4층 33호
G-4-32:G432,G동 4층 32호
